constructor_id,constructor_ref,name,nationality,ingestion_date
183,brabham-climax,Brabham-Climax,British,2023-08-19T21:49:50.313+05:30
184,lds-climax,LDS-Climax,South African,2023-08-19T21:49:50.313+05:30
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,2023-08-19T21:49:50.313+05:30
186,cooper-ford,Cooper-Ford,British,2023-08-19T21:49:50.313+05:30
187,mclaren-ford,McLaren-Ford,British,2023-08-19T21:49:50.313+05:30
188,mclaren-seren,McLaren-Serenissima,British,2023-08-19T21:49:50.313+05:30
189,eagle-climax,Eagle-Climax,American,2023-08-19T21:49:50.313+05:30
190,eagle-weslake,Eagle-Weslake,American,2023-08-19T21:49:50.313+05:30
191,brabham-repco,Brabham-Repco,British,2023-08-19T21:49:50.313+05:30
192,cooper-ferrari,Cooper-Ferrari,British,2023-08-19T21:49:50.313+05:30
193,cooper-ats,Cooper-ATS,British,2023-08-19T21:49:50.313+05:30
194,mclaren-brm,McLaren-BRM,British,2023-08-19T21:49:50.313+05:30
195,cooper-brm,Cooper-BRM,British,2023-08-19T21:49:50.313+05:30
196,matra-ford,Matra-Ford,French,2023-08-19T21:49:50.313+05:30
197,brm-ford,BRM-Ford,British,2023-08-19T21:49:50.313+05:30
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,2023-08-19T21:49:50.313+05:30
199,march-alfa_romeo,March-Alfa Romeo,British,2023-08-19T21:49:50.313+05:30
200,march-ford,March-Ford,British,2023-08-19T21:49:50.313+05:30
201,lotus-pw,Lotus-Pratt &amp; Whitney,British,2023-08-19T21:49:50.313+05:30
202,shadow-ford,Shadow-Ford,British,2023-08-19T21:49:50.313+05:30
203,shadow-matra,Shadow-Matra,British,2023-08-19T21:49:50.313+05:30
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,2023-08-19T21:49:50.313+05:30
205,lotus_racing,Lotus,Malaysian,2023-08-19T21:49:50.313+05:30
206,marussia,Marussia,Russian,2023-08-19T21:49:50.313+05:30
207,caterham,Caterham,Malaysian,2023-08-19T21:49:50.313+05:30
208,lotus_f1,Lotus F1,British,2023-08-19T21:49:50.313+05:30
209,manor,Manor Marussia,British,2023-08-19T21:49:50.313+05:30
210,haas,Haas F1 Team,American,2023-08-19T21:49:50.313+05:30
211,racing_point,Racing Point,British,2023-08-19T21:49:50.313+05:30
213,alphatauri,AlphaTauri,Italian,2023-08-19T21:49:50.313+05:30
214,alpine,Alpine F1 Team,French,2023-08-19T21:49:50.313+05:30
